"film","release_year","award_type","status"
"Monsters, Inc.","2001","Animated Feature","Nominated"
"Finding Nemo","2003","Animated Feature","Won"
"The Incredibles","2004","Animated Feature","Won"
"Cars","2006","Animated Feature","Nominated"
"Ratatouille","2007","Animated Feature","Won"
"WALL-E","2008","Animated Feature","Won"
"Up","2009","Animated Feature","Won"
"Toy Story 3","2010","Animated Feature","Won"
"Brave","2012","Animated Feature","Won"
"Inside Out","2015","Animated Feature","Won"
"Coco","2017","Animated Feature","Won"
"Incredibles 2","2018","Animated Feature","Nominated"
"Toy Story 4","2019","Animated Feature","Won"
"Onward","2020","Animated Feature","Nominated"
"Soul","2020","Animated Feature","Won"
"Luca","2021","Animated Feature","Nominated"
"Turning Red","2022","Animated Feature","Nominated"
"Elemental","2023","Animated Feature","Nominated"
"Inside Out 2","2024","Animated Feature","Nominated"
