"subgenre","num_films","proportion"
"Computer Animation","28","1.00000000000000000000"
"Fantasy","14","0.50000000000000000000"
"Urban Adventure","8","0.28571428571428571429"
"Supernatural Fantasy","7","0.25000000000000000000"
"Coming-of-Age","6","0.21428571428571428571"
"Quest","6","0.21428571428571428571"
"Animal Adventure","5","0.17857142857142857143"
"Buddy Comedy","4","0.14285714285714285714"
"Motorsport","3","0.10714285714285714286"
"Music","3","0.10714285714285714286"
"Sea Adventure","3","0.10714285714285714286"
"Sci-Fi","3","0.10714285714285714286"
"Sport","3","0.10714285714285714286"
"Superhero","3","0.10714285714285714286"
"Car Action","2","0.07142857142857142857"
"Teen Comedy","2","0.07142857142857142857"
"Fairy Tale","2","0.07142857142857142857"
"Space Sci-Fi","2","0.07142857142857142857"
"Sword & Sorcery","2","0.07142857142857142857"
"Mystery","1","0.03571428571428571429"
"Artificial Intelligence","1","0.03571428571428571429"
"Crime","1","0.03571428571428571429"
"Dinosaur Adventure","1","0.03571428571428571429"
"Dystopian Sci-Fi","1","0.03571428571428571429"
"Fantasy Epic","1","0.03571428571428571429"
"Globetrotting Adventure","1","0.03571428571428571429"
"Adventure Epic","1","0.03571428571428571429"
"Road Trip","1","0.03571428571428571429"
"Romance","1","0.03571428571428571429"
"Spy","1","0.03571428571428571429"
"Teen Adventure","1","0.03571428571428571429"
"Teen Drama","1","0.03571428571428571429"
"Time Travel","1","0.03571428571428571429"
